,repo_url,commit_id,cls
0,https://github.com/spring-projects/spring-webflow,57f2ccb66946943fbf3b3f2165eac1c8eb6b1523,pos
1,https://github.com/pingidentity/ldapsdk,8471904a02438c03965d21367890276bc25fa5a6,pos
2,https://github.com/apache/camel,57d01e2fc8923263df896e9810329ee5b7f9b69,pos
3,https://github.com/jenkinsci/jenkins,d7ea3f40efedd50541a57b943d5f7bbed046d091,pos
4,https://github.com/apache/tomcat,2835bb4e030c1c741ed0847bb3b9c3822e4fbc8a,pos
5,https://github.com/apache/tomcat85,9601a937ff3b7ef5d04b2a0e950d0e44e1bb4cbd,pos
6,https://github.com/apache/tomcat55,359c7ee17f5759cc99988e1cc9e971fe4a6ffad5,pos
7,https://github.com/apache/spark,772a9b969aa179150aa216e9efd950e512e9d0b4,pos
8,https://github.com/apache/tomcat,d6a9898125f34e593de426e8c7dabb0f224fc00f,pos
9,https://github.com/apache/tomcat,50311bed8d87e452ff0e69838ba312c4fe899b2d,pos
10,https://github.com/apache/hive,00c0ee7bc4b8492476b377a6edafcc33411f14b,pos
11,https://github.com/cloudfoundry/uaa,5dc5ca9176ed5baa870680d99f37e7e559dddc5,pos
12,https://github.com/spring-projects/spring-framework,246a6db1cad205ca9b6fca00c544ab7443ba202,pos
13,https://github.com/apache/tomcat80,0f76016a4ec45635e450ada9c84ff7ee0c5f3799,pos
14,https://github.com/bcgit/bc-java,843c2e60f67d71faf81d236f448ebbe56c62c647,pos
15,https://github.com/apache/camel,e922f89290f236f3107039de61af0375826bd96d,pos
16,https://github.com/FasterXML/jackson-databind,e8f043d1aac9b82eee907e0f0c3abbdea723a935,pos
17,https://github.com/apache/kafka,47c2753496875db2849065ad91ee03c7c842c8e,pos
18,https://github.com/apache/struts,54e5c912ebd9a1599bfcf7a719da17c28127bbe,pos
19,https://github.com/cloudfoundry/uaa,24bc5ade80560cedb9300940d2b398163ab0dc6,pos
20,https://github.com/apache/tomcat70,0351f661e9219a0682df1d2a9265c518438279c6,pos
21,https://github.com/apache/tomcat,86b2e436099cb48f30dad950175c5beeeb763756,pos
22,https://github.com/apache/cxf,1338469,pos
23,https://github.com/hibernate/hibernate-validator,c489416f699a46859c134796b3ccfea41ef3ce52,pos
24,https://github.com/apache/poi,d72bd78c19dfb7b57395a66ae8d9269d59a87bd2,pos
25,https://github.com/ESAPI/esapi-java-legacy,41138fef5f63d9cf0d5e05d2bee2c7f682ffef3f,pos
26,https://github.com/apache/hive,63df42966cf44ffdd20d3fcdcfb70738c0432ab,pos
27,https://github.com/sebfz1/wicket-jquery-ui,3e8cfdcb0f8e6e0cf0da01e74501afb5c9bff0f,pos
28,https://github.com/hibernate/hibernate-validator,c9525ca544b1281e2b7c7347e86e87c86dc1dc6e,pos
29,https://github.com/jythontools/jython,4c337213bd2964bb36cef2d31509b49647ca6f2a,pos
30,https://github.com/apache/poi,cd6236c74b55763a27e3e9b5f269c28bc9c98419,pos
31,https://github.com/apache/activemq,6f03921b31d9fefeddb0f4fa63150ed1f94a14b,pos
32,https://github.com/apache/shiro,b15ab927709ca18ea4a02538be01919a19ab65af,pos
33,https://github.com/apache/hadoop,cedc28d4ab2a27ba47e15ab2711218d96ec88d2,pos
